language_2_chars,language_3_chars,family,genus,script
ii,iii,Sino-Tibetan,Burmese-Lolo,Latn
iu,iku,Eskimo-Aleut,Eskimo,Cans
ie,ile,Indo-European,Romance,Latn
,ilo,Austronesian,Northern Luzon,Latn
ia,ina,Indo-European,Romance,Latn
id,ind,Austronesian,Malayo-Sumbawan,Latn
,inh,Nakh-Daghestanian,Nakh,Latn
,inh,Nakh-Daghestanian,Nakh,Cyrl
is,isl,Indo-European,Germanic,Latn
it,ita,Indo-European,Romance,Latn
jv,jav,Austronesian,Javanese,Latn
jv,jav,Austronesian,Javanese,Java
ja,jpn,Japanese,Japanese,Jpan
,kab,Afro-Asiatic,Berber,Latn
,kab,Afro-Asiatic,Berber,Tfng
,kac,Sino-Tibetan,Brahmaputran,Latn
kl,kal,Eskimo-Aleut,Eskimo,Latn
,kam,Niger-Congo,Bantu,Latn
kn,kan,Dravidian,Dravidian,Knda
ks,kas,Indo-European,Indic,Deva
ks,kas,Indo-European,Indic,Shrd
ks,kas,Indo-European,Indic,Arab
ka,kat,Kartvelian,Kartvelian,Geor
kr,kau,Saharan,Western Saharan,Latn
kk,kaz,Altaic,Turkic,Latn
kk,kaz,Altaic,Turkic,Cyrl
kk,kaz,Altaic,Turkic,Arab
,kbd,Northwest Caucasian,Northwest Caucasian,Cyrl
,kbp,Niger-Congo,Grusi,Latn
,khk,Altaic,Mongolic,Mong
,khk,Altaic,Mongolic,Latn
km,khm,Austro-Asiatic,Khmer,Thai
ki,kik,Niger-Congo,Bantu,Latn
rw,kin,Niger-Congo,Bantu,Latn
ky,kir,Altaic,Turkic,Cyrl
ky,kir,Altaic,Turkic,Arab
ky,kir,Altaic,Turkic,Latn
,kjh,Altaic,Turkic,Latn
,kjh,Altaic,Turkic,Cyrl
,kmr,Indo-European,Iranian,Latn
,knc,Saharan,Western Saharan,Arab
,knc,Saharan,Western Saharan,Latn
kv,kom,Uralic,Permic,Latn
kv,kom,Uralic,Permic,Cyrl
kg,kon,Niger-Congo,Bantu,Latn
ko,kor,Korean,Korean,Hang
,kum,Altaic,Turkic,Latn
,kum,Altaic,Turkic,Cyrl
lo,lao,Tai-Kadai,Kam-Tai,Laoo
la,lat,Indo-European,Romance,Latn
lv,lav,Indo-European,Baltic,Latn
,lez,Nakh-Daghestanian,Lezgic,Latn
,lez,Nakh-Daghestanian,Lezgic,Cyrl
,lez,Nakh-Daghestanian,Lezgic,Arab
,lij,Indo-European,Romance,Latn
li,lim,Indo-European,Germanic,Latn
ln,lin,Niger-Congo,Bantu,Latn
lt,lit,Indo-European,Baltic,Latn
lt,lit,Indo-European,Baltic,Cyrl
,lld,Indo-European,Romance,Latn
,lmo,Indo-European,Romance,Latn
lb,ltz,Indo-European,Germanic,Latn
,lua,Niger-Congo,Bantu,Latn
lu,lub,Niger-Congo,Bantu,Latn
lg,lug,Niger-Congo,Bantu,Latn
,luo,Eastern Sudanic,Western Nilotic,Latn
,lus,Sino-Tibetan,Kuki-Chin,Latn
,mag,Indo-European,Indic,Deva
mh,mah,Austronesian,Oceanic,Latn
,mai,Indo-European,Indic,Deva
,mai,Indo-European,Indic,Tirh
ml,mal,Dravidian,Dravidian,Mlym
mr,mar,Indo-European,Indic,Deva
,men,Mande,Western Mande,Mend
,men,Mande,Western Mande,Latn
,mfe,Indo-European,Creoles and Pidgins,Latn
,min,Austronesian,Malayo-Sumbawan,Latn
mk,mkd,Indo-European,Slavic,Cyrl
mg,mlg,Austronesian,Barito,Latn
mt,mlt,Afro-Asiatic,Semitic,Latn
,mni,Sino-Tibetan,Manipuri,Beng
,mni,Sino-Tibetan,Manipuri,Mtei
mn,mon,Altaic,Mongolic,Soyo
mn,mon,Altaic,Mongolic,Phag
mn,mon,Altaic,Mongolic,Mong
mn,mon,Altaic,Mongolic,Cyrl
,mos,Niger-Congo,Oti-Volta,Latn
mi,mri,Austronesian,Oceanic,Latn
ms,msa,Austronesian,Malayo-Sumbawan,Latn
ms,msa,Austronesian,Malayo-Sumbawan,Arab
,mwl,Indo-European,Romance,Latn
my,mya,Sino-Tibetan,Burmese-Lolo,Mymr
,myv,Uralic,Mordvin,Cyrl
,nap,Indo-European,Romance,Latn
na,nau,Austronesian,Oceanic,Latn
nv,nav,Na-Dene,Athapaskan,Latn
nd,nde,Niger-Congo,Bantu,Latn
ng,ndo,Niger-Congo,Bantu,Latn
ne,nep,Indo-European,Indic,Deva
,nia,Austronesian,Northwest Sumatra-Barrier Islands,Latn
,niu,Austronesian,Oceanic,Latn
nl,nld,Indo-European,Germanic,Latn
nn,nno,Indo-European,Germanic,Latn
nb,nob,Indo-European,Germanic,Latn
,nog,Altaic,Turkic,Arab
,nog,Altaic,Turkic,Latn
